"","sp","co","spArea","coArea","area_overlap"
"1","Sphyrapicus_ruber","Melanerpes_formicivorus","1000123.50197508","1503556.97443414","123861.897003097"
"2","Sphyrapicus_ruber","Dryobates_nuttallii","1000123.50197508","183838.803086181","59015.1389220412"
"3","Empidonax_traillii","Empidonax_alnorum","7306864.44299","7184573.63606488","1298200.17191832"
"4","Calypte_anna","Selasphorus_sasin","499565.219437764","31440.1948616306","31440.1190301776"
"5","Dendroica_magnolia","Setophaga_ruticilla","3723833.14858862","7468329.47625163","2901275.60697864"
"6","Dendroica_magnolia","Dendroica_caerulescens","3723833.14858862","1147825.66562745","1003823.72299042"
"7","Dendroica_magnolia","Wilsonia_canadensis","3723833.14858862","2778071.5093701","2549933.04327727"
"8","Dendroica_caerulescens","Setophaga_ruticilla","1147825.66562745","7468329.47625163","1144074.12078978"
"9","Dendroica_caerulescens","Wilsonia_canadensis","1147825.66562745","2778071.5093701","998902.96381237"
"10","Dendroica_caerulescens","Dendroica_magnolia","1147825.66562745","3723833.14858862","1003823.72299043"
"11","Wilsonia_canadensis","Setophaga_ruticilla","2778071.5093701","7468329.47625163","2255311.30533658"
"12","Wilsonia_canadensis","Dendroica_caerulescens","2778071.5093701","1147825.66562745","998902.963812372"
"13","Wilsonia_canadensis","Dendroica_magnolia","2778071.5093701","3723833.14858862","2549933.04327729"
"14","Sayornis_saya","Myiarchus_cinerascens","7567465.47160796","3499142.41100036","2605019.9717526"
"15","Sayornis_saya","Tyrannus_verticalis","7567465.47160796","5134049.75263959","4173572.78014596"
"16","Tyrannus_vociferans","Myiarchus_cinerascens","1436464.42306362","3499142.41100036","1072396.98269765"
"17","Chondestes_grammacus","Ammodramus_bairdii","5633306.05649123","830086.931430825","552734.614947159"
"18","Ammodramus_savannarum","Ammodramus_bairdii","5217422.3634511","830086.931430825","672257.043092644"
"19","Ammodramus_savannarum","Spizella_passerina","5217422.3634511","13395245.5750865","4471992.82333451"
"20","Tachycineta_thalassina","Hirundo_rustica","6110195.55754842","52168253.9103606","4918818.8828885"
"21","Tachycineta_thalassina","Stelgidopteryx_serripennis","6110195.55754842","10005664.6583418","3831412.81108296"
"22","Oporornis_philadelphia","Dendroica_castanea","2728129.13802754","2702365.02228155","1654631.38148903"
"23","Oporornis_philadelphia","Dendroica_virens","2728129.13802754","3323344.54537508","2223424.62468146"
"24","Oporornis_philadelphia","Dendroica_fusca","2728129.13802754","2046866.85865659","1590465.83062522"
"25","Oporornis_philadelphia","Dendroica_striata","2728129.13802754","6439953.99315026","1187563.35574523"
"26","Oporornis_philadelphia","Dendroica_tigrina","2728129.13802754","2597215.17394992","1783305.54877016"
"27","Oporornis_philadelphia","Dendroica_pensylvanica","2728129.13802754","2441176.29908871","1820393.27209887"
"28","Oporornis_philadelphia","Geothlypis_trichas","2728129.13802754","12866759.2375821","2659598.08600948"
"29","Oporornis_philadelphia","Vermivora_ruficapilla","2728129.13802754","2791025.83495608","1820167.27588541"
